time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.21020862988e-07,-3.99361735607e-08,10.0043486521,6.28313119186,0.000208897749728,0.0,-1.95637160849e-05,-4.20202158175e-06,0.144946946223,-0.00276985678138,0.00966660861848,0.0,450.6389044150385,451.4194142385327,450.95382381224056,450.7300885449547
0.12000000000000001,-8.07376187707e-06,-1.2918613071e-06,10.0167584425,0.000387603871813,0.000502069646311,0.0,-0.000290698829956,-1.7436544663e-05,0.268690979637,0.0223626291052,-0.00698618294266,0.0,445.2535469440169,443.88925363093887,443.2049219241837,445.26534358926637
0.18,-3.36786725296e-05,8.95254560417e-06,10.033089609,0.00146765176912,0.000618824519846,0.0,-0.000553196048627,0.00046740222476,0.275679418421,0.00741618180122,0.0155707711269,0.0,405.4207683906821,407.44210794648245,407.04101149759936,405.701427015681
0.23999999999999996,-8.44161179655e-05,7.23187897119e-05,10.0536839688,0.00295663260406,0.00186404653446,0.0,-0.00125657988846,0.00176221816859,0.410759370736,0.0467327256262,0.0295015290805,0.0,447.29073234736575,448.4235988492565,446.526074669012,449.7215784843937
0.3,-0.000209415024263,0.000256572913716,10.0831093756,0.00617945949096,0.00398470383262,0.0,-0.00312764552323,0.00471624204302,0.570019148681,0.0649160475049,0.0450205736862,0.0,455.0222018717616,456.2631844996028,454.6654102505615,456.1214330023864
0.36000000000000004,-0.000494507971191,0.00068934617822,10.121363843,0.00971077578493,0.00675282709201,0.0,-0.00666836333484,0.0101114914871,0.705051209368,0.0425839401098,0.0482760092106,0.0,447.47554959461274,447.74167835550736,449.7831187475526,447.97340450015884
0.4200000000000001,-0.00105495333634,0.00151964882595,10.1679540063,0.0123914042052,0.00997044205143,0.0,-0.0123455376223,0.0178481975778,0.847853074683,0.0485642894687,0.062612345297,0.0,450.61758385414873,451.77666322967565,450.2098435296648,450.69450076219505
0.48000000000000015,-0.00201494668034,0.00285681199646,10.2217203332,0.0157255820014,0.0133327183235,0.0,-0.0200199049057,0.0270426808947,0.944274125892,0.0668033098149,0.0377406176032,0.0,438.17992881749507,436.10973562266287,435.1743642908311,436.70030170623534
0.5400000000000001,-0.00354704428379,0.00487597089092,10.2847791185,0.020020983861,0.0152446042966,0.0,-0.0312999832643,0.0407540816262,1.1574814927,0.07975988748,0.0162762624216,0.0,473.4970701413693,471.84339230718996,471.675991222622,472.67898924653736
0.6000000000000002,-0.00580957262676,0.00784237895614,10.3614975395,0.0247456580381,0.0160129161037,0.0,-0.044222304231,0.0587056226756,1.39951970799,0.0766337544368,0.00475747727776,0.0,482.2598788183191,481.38901294909647,480.83118177130865,480.59876337196295
0.6600000000000003,-0.00876495957842,0.0118455762873,10.4465966998,0.0291344728116,0.0158554976639,0.0,-0.054302500488,0.0751507939939,1.43706028029,0.0650615954177,-0.0245387957963,0.0,419.7200274529112,417.1699674633316,419.44810097557337,418.446481030583
0.7200000000000003,-0.0123263043312,0.0169357697845,10.5346101586,0.0333866632863,0.0142683189355,0.0,-0.0642612919366,0.0949133556943,1.4966344805,0.0804957125289,-0.0305854344332,0.0,426.78405356735766,426.2675072958497,424.97505901714203,426.29984182588225
0.7800000000000004,-0.0164956588859,0.0234017732348,10.6292389329,0.0382866011125,0.0125830321638,0.0,-0.0745192975428,0.121152402898,1.65742071306,0.0839070490652,-0.0235112459544,0.0,457.67165458400626,458.2341117017464,458.16558694201854,458.4418788309165
0.8400000000000004,-0.0212316592769,0.0315117232981,10.7324585295,0.042954311755,0.0115281104105,0.0,-0.0832169191943,0.149689151654,1.78302349288,0.0613341521691,-0.00778522735549,0.0,446.58121972983685,447.8620684996573,449.35784001454664,447.5289938186023
0.9000000000000005,-0.0264556472861,0.0413729610601,10.841940202,0.0465587949918,0.0107542563013,0.0,-0.0908555791358,0.179374854626,1.86621521737,0.0574299934009,-0.0258376003617,0.0,435.5199807936965,434.00764144990774,435.21095871804783,434.8867180701698
0.9600000000000005,-0.0321551505979,0.0532526094547,10.9599173754,0.0496852015701,0.00882860584162,0.0,-0.0989267108652,0.21698361505,2.06599763456,0.0384688378022,-0.0491223241062,0.0,472.0876577785998,470.2872507422007,471.70353044881585,470.2386344061935
1.0200000000000005,-0.0382825053588,0.0674264670864,11.0892554027,0.0520479607749,0.00621885705699,0.0,-0.105001933231,0.255725780474,2.24492084616,0.0411403551935,-0.0341210784243,0.0,465.52330182946105,466.69457574587386,465.0227651596335,465.2326787030921
1.0800000000000005,-0.0447281791474,0.0840704983663,11.231055962,0.0541871467135,0.00447285780812,0.0,-0.109621178021,0.299333543169,2.4812627605,0.0214506311451,-0.0205859602416,0.0,483.0593845451926,484.0787182273458,483.60711879974644,482.1222451463419
1.1400000000000006,-0.0513941460569,0.103161662208,11.383059952,0.0552746920787,0.00314609490762,0.0,-0.112445556682,0.33714663514,2.58529609536,0.0104720823452,-0.0253554577957,0.0,443.78507409501174,443.3933963151946,445.7962604937014,444.89824049182357
1.2000000000000006,-0.0582074034268,0.124664991003,11.5435288339,0.0561941934447,0.00168827893047,0.0,-0.114492824484,0.379694747537,2.7632430116,0.023595407139,-0.0222599820307,0.0,467.59909656094317,467.84012352440345,466.9521897836718,467.9746892181572
1.2600000000000007,-0.0651038838497,0.148478240462,11.709955456,0.0572143110721,0.000376599648264,0.0,-0.115270268731,0.414188978114,2.78424862076,-0.00138384201124,-0.0210757699834,0.0,418.730894354941,418.83385576467214,420.4876983437734,418.31810864270534
